 size,  time, cycle, instr, L1_miss, LLC_miss, br_miss,  task,          scale,   IPC,   CPU,   GHz 
2310000, 9.357, 42.021, 5.011,   0.989,    0.584,   0.000, 9.357, 1000000000.000, 0.119, 1.000, 4.491 
2330000, 9.306, 41.796, 5.011,   0.988,    0.579,   0.000, 9.306, 1000000000.000, 0.120, 1.000, 4.491 
2340000, 9.297, 41.758, 5.012,   0.989,    0.579,   0.000, 9.297, 1000000000.000, 0.120, 1.000, 4.492 
2350000, 9.330, 41.903, 5.025,   0.989,    0.582,   0.000, 9.330, 1000000000.000, 0.120, 1.000, 4.491 
2360000, 9.363, 42.046, 5.011,   0.989,    0.587,   0.000, 9.362, 1000000000.000, 0.119, 1.000, 4.491 
2370000, 9.329, 41.899, 5.012,   0.989,    0.583,   0.000, 9.329, 1000000000.000, 0.120, 1.000, 4.492 
2380000, 9.378, 42.122, 5.012,   0.989,    0.588,   0.000, 9.378, 1000000000.000, 0.119, 1.000, 4.492 
2390000, 9.394, 42.189, 5.011,   0.989,    0.589,   0.000, 9.394, 1000000000.000, 0.119, 1.000, 4.491 
2400000, 9.415, 42.286, 5.012,   0.989,    0.593,   0.000, 9.415, 1000000000.000, 0.119, 1.000, 4.492 
2410000, 9.453, 42.456, 5.012,   0.989,    0.597,   0.000, 9.452, 1000000000.000, 0.118, 1.000, 4.492 
2420000, 9.424, 42.329, 5.012,   0.989,    0.594,   0.000, 9.424, 1000000000.000, 0.118, 1.000, 4.492 
2430000, 9.464, 42.505, 5.011,   0.989,    0.597,   0.000, 9.464, 1000000000.000, 0.118, 1.000, 4.491 
2440000, 9.477, 42.561, 5.011,   0.989,    0.600,   0.000, 9.476, 1000000000.000, 0.118, 1.000, 4.491 
2450000, 9.461, 42.481, 5.012,   0.989,    0.598,   0.000, 9.461, 1000000000.000, 0.118, 1.000, 4.490 
2460000, 9.484, 42.596, 5.011,   0.989,    0.600,   0.000, 9.484, 1000000000.000, 0.118, 1.000, 4.491 
2470000, 9.536, 42.827, 5.012,   0.989,    0.606,   0.000, 9.536, 1000000000.000, 0.117, 1.000, 4.491 
2480000, 9.543, 42.859, 5.011,   0.989,    0.606,   0.000, 9.543, 1000000000.000, 0.117, 1.000, 4.491 
2500000, 9.551, 42.893, 5.011,   0.989,    0.608,   0.000, 9.550, 1000000000.000, 0.117, 1.000, 4.491 
2490000, 9.589, 43.065, 5.012,   0.989,    0.611,   0.000, 9.589, 1000000000.000, 0.116, 1.000, 4.491 
2510000, 9.583, 43.040, 5.019,   0.989,    0.612,   0.000, 9.583, 1000000000.000, 0.117, 1.000, 4.491 
2520000, 9.569, 42.977, 5.012,   0.989,    0.609,   0.000, 9.569, 1000000000.000, 0.117, 1.000, 4.491 
2530000, 9.617, 43.192, 5.012,   0.989,    0.615,   0.000, 9.616, 1000000000.000, 0.116, 1.000, 4.492 
2540000, 9.651, 43.345, 5.012,   0.989,    0.618,   0.000, 9.650, 1000000000.000, 0.116, 1.000, 4.492 
2550000, 9.634, 43.268, 5.012,   0.989,    0.615,   0.000, 9.634, 1000000000.000, 0.116, 1.000, 4.491 
2560000, 9.695, 43.542, 5.012,   0.989,    0.623,   0.000, 9.694, 1000000000.000, 0.115, 1.000, 4.492 
2570000, 9.662, 43.395, 5.012,   0.989,    0.619,   0.000, 9.662, 1000000000.000, 0.115, 1.000, 4.491 
2580000, 9.684, 43.496, 5.012,   0.990,    0.623,   0.000, 9.684, 1000000000.000, 0.115, 1.000, 4.491 
2590000, 9.687, 43.505, 5.011,   0.990,    0.620,   0.000, 9.687, 1000000000.000, 0.115, 1.000, 4.491 
2610000, 9.701, 43.569, 5.012,   0.990,    0.624,   0.000, 9.700, 1000000000.000, 0.115, 1.000, 4.491 
2600000, 9.737, 43.731, 5.012,   0.990,    0.626,   0.000, 9.737, 1000000000.000, 0.115, 1.000, 4.491 
2620000, 9.720, 43.654, 5.011,   0.990,    0.625,   0.000, 9.720, 1000000000.000, 0.115, 1.000, 4.491 
2630000, 9.764, 43.834, 5.013,   0.990,    0.630,   0.000, 9.760, 1000000000.000, 0.114, 1.000, 4.491 
2640000, 9.770, 43.877, 5.012,   0.990,    0.629,   0.000, 9.770, 1000000000.000, 0.114, 1.000, 4.491 
2650000, 9.793, 43.983, 5.012,   0.990,    0.632,   0.000, 9.793, 1000000000.000, 0.114, 1.000, 4.492 
2660000, 9.848, 44.225, 5.012,   0.990,    0.634,   0.000, 9.847, 1000000000.000, 0.113, 1.000, 4.491 
2670000, 9.914, 44.525, 5.012,   0.990,    0.638,   0.000, 9.914, 1000000000.000, 0.113, 1.000, 4.491 
2690000, 9.843, 44.210, 5.012,   0.990,    0.636,   0.000, 9.843, 1000000000.000, 0.113, 1.000, 4.492 
2680000, 9.944, 44.656, 5.012,   0.990,    0.639,   0.000, 9.943, 1000000000.000, 0.112, 1.000, 4.491 
2700000, 9.895, 44.441, 5.013,   0.990,    0.641,   0.000, 9.894, 1000000000.000, 0.113, 1.000, 4.492 
2710000, 9.922, 44.558, 5.011,   0.990,    0.642,   0.000, 9.921, 1000000000.000, 0.112, 1.000, 4.491 
2720000, 9.870, 44.331, 5.012,   0.990,    0.639,   0.000, 9.870, 1000000000.000, 0.113, 1.000, 4.492 
2740000, 9.891, 44.425, 5.012,   0.990,    0.644,   0.000, 9.891, 1000000000.000, 0.113, 1.000, 4.492 
2750000, 10.010, 44.956, 5.013,   0.990,    0.647,   0.000, 10.010, 1000000000.000, 0.112, 1.000, 4.491 
2760000, 9.927, 44.581, 5.012,   0.990,    0.646,   0.000, 9.927, 1000000000.000, 0.112, 1.000, 4.491 
2730000, 10.133, 45.501, 5.012,   0.991,    0.657,   0.000, 10.133, 1000000000.000, 0.110, 1.000, 4.490 
2770000, 10.037, 45.076, 5.012,   0.990,    0.650,   0.000, 10.037, 1000000000.000, 0.111, 1.000, 4.491 
2780000, 10.049, 45.130, 5.012,   0.990,    0.651,   0.000, 10.049, 1000000000.000, 0.111, 1.000, 4.491 
2800000, 9.964, 44.753, 5.012,   0.990,    0.648,   0.000, 9.964, 1000000000.000, 0.112, 1.000, 4.491 
2790000, 10.032, 45.057, 5.012,   0.991,    0.658,   0.000, 10.031, 1000000000.000, 0.111, 1.000, 4.492 
2810000, 10.140, 45.541, 5.012,   0.990,    0.654,   0.000, 10.139, 1000000000.000, 0.110, 1.000, 4.492 
2840000, 10.033, 45.062, 5.014,   0.990,    0.658,   0.000, 10.033, 1000000000.000, 0.111, 1.000, 4.492 
2830000, 10.291, 46.210, 5.029,   0.991,    0.656,   0.000, 10.290, 1000000000.000, 0.109, 1.000, 4.491 
2860000, 10.087, 45.303, 5.013,   0.991,    0.658,   0.000, 10.086, 1000000000.000, 0.111, 1.000, 4.491 
2820000, 10.506, 47.181, 5.012,   0.991,    0.661,   0.000, 10.506, 1000000000.000, 0.106, 1.000, 4.491 
2880000, 10.070, 45.228, 5.012,   0.991,    0.662,   0.000, 10.070, 1000000000.000, 0.111, 1.000, 4.492 
